Project Phase,"        
Task",Assigned To,Status,Dependencies,
5: Advanced Configuration & HTTP Features,Task 5.2.3: Implement client body size validation against config from Developer A.,Developer B,Not started,Task 2.3; Task 5.2.2,Medium
5: Advanced Configuration & HTTP Features,Task 5.2.4: Implement POST method for file uploads.,Developer A,Not started,Task 3.6; Task 5.1.1,Very High
5: Advanced Configuration & HTTP Features,Task 5.2.5: Implement DELETE method.,Developer A,Not started,Task 3.6; Task 5.1.1,Very High
5: Advanced Configuration & HTTP Features,Task 5.2.6: Implement serving of index files and autoindex directory listing.,Developer A,Not started,Task 4.2; Task 5.1.1,Medium
5: Advanced Configuration & HTTP Features,Task 5.2.7: Implement HTTP redirections.,Developer C,Not started,Task 3.6; Task 5.1.1,High
5: Advanced Configuration & HTTP Features,Task 5.2.8: Refine HTTP response generation with all necessary headers and accurate status codes.,Developer B,Not started,Task 4.1; Task 5.2.1,Very High
5: Advanced Configuration & HTTP Features,Task 5.2.9: Implement serving of configured/default error pages.,Developer C,Not started,Task 4.2,Medium
6: CGI Handling (Mandatory & Bonus),"Task 6.1: Implement logic to identify if a request should be handled by CGI, and which CGI handler to use. BONUS",Developer A,Not started,Task 5.1.2; Task 5.1.4,Medium
6: CGI Handling (Mandatory & Bonus),Task 6.2: Implement fork() and execve() to execute the correctly chosen CGI script. Set up environment variables.,Developer A,Not started,Task 6.1,Low
6: CGI Handling (Mandatory & Bonus),Task 6.3: Set up pipes for communication with the CGI script.,Developer A,Not started,Task 6.2,Low
6: CGI Handling (Mandatory & Bonus),Task 6.4: Define and implement an interface for Developer A to register CGI pipe file descriptors with Developer C's event loop.,Developer A & Developer C,Not started,Task 1.8; Task 6.3,Low
6: CGI Handling (Mandatory & Bonus),Task 6.5: Implement passing the request body to CGI's stdin.,Developer A,Not started,Task 5.2.2; Task 6.3,Medium
6: CGI Handling (Mandatory & Bonus),Task 6.6: Implement reading the response from CGI's stdout (handling headers and body). This will be event-driven via Developer C's poll().,Developer A,Not started,Task 6.4,Medium
7: Cookies & Session Management (BONUS),Task 7.1: Implement HTTP Cookie header parsing. BONUS,Developer B,Not started,Task 5.2.1,Very High
7: Cookies & Session Management (BONUS),Task 7.2: Implement session ID generation and validation logic. BONUS,Developer B,Not started,Task 7.1,Very High
7: Cookies & Session Management (BONUS),"Task 7.3: Implement server-side session data storage (e.g., simple in-memory map: session ID -> data). BONUS",Developer B,Not started,Task 7.2,Very High
7: Cookies & Session Management (BONUS),Task 7.4: Implement logic to create new sessions for new users and send Set-Cookie headers. BONUS,Developer B,Not started,Task 7.3,High
7: Cookies & Session Management (BONUS),Task 7.5: Implement logic to load existing session data for users with valid session cookies. BONUS,Developer C,Not started,Task 7.3,High
7: Cookies & Session Management (BONUS),"Task 7.6: Provide a simple way for responses/CGIs to interact with session data (e.g., read/write). BONUS",Developer C,Not started,Task 7.3,High
7: Cookies & Session Management (BONUS),Task 7.7: Prepare quick examples demonstrating cookie and session usage. BONUS,Developer B,Not started,Task 7.6,Medium
8: Core Integration,Task 8.1: Handle client disconnection events robustly and remove FDs from poll().,Developer C,Not started,Task 1.8,Medium
